,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
468,256,"Abdihakim ""Abdi"" Abdirahman",M,31.0,178.0,61.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",
1843,1017,Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1875,1028,"Fredua Koranteng ""Freddy"" Adu",M,19.0,170.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
4729,2697,Sadam Ali,M,19.0,175.0,60.0,United States,USA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Lightweight,
5049,2874,Wyatt Allen,M,29.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
5492,3101,"Josmer Volmy ""Jozy"" Altidore",M,18.0,185.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
5501,3107,"Michael ""Mike"" Altman",M,32.0,183.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,
6771,3797,Brett Franklin Anderson,M,20.0,193.0,104.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
7212,4033,Demetrius Cesar Andrade,M,20.0,183.0,69.0,United States,USA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Welterweight,
8165,4505,Carmelo Kyan Anthony,M,24.0,203.0,109.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
8184,4515,"Michael E. ""Mike"" Anti",M,44.0,173.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
9664,5298,"Jacob Joseph ""Jake"" Arrieta",M,22.0,193.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
9792,5363,"Alexander Vladimirovich ""Sasha"" Artemev",M,22.0,168.0,,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
9793,5363,"Alexander Vladimirovich ""Sasha"" Artemev",M,22.0,168.0,,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Bronze
9794,5363,"Alexander Vladimirovich ""Sasha"" Artemev",M,22.0,168.0,,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,
9795,5363,"Alexander Vladimirovich ""Sasha"" Artemev",M,22.0,168.0,,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,
9796,5363,"Alexander Vladimirovich ""Sasha"" Artemev",M,22.0,168.0,,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,
9797,5363,"Alexander Vladimirovich ""Sasha"" Artemev",M,22.0,168.0,,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,
9798,5363,"Alexander Vladimirovich ""Sasha"" Artemev",M,22.0,168.0,,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,
10264,5612,Ben Askren,M,24.0,180.0,74.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Freestyle",
11592,6317,"Anthony Lawrence ""Tony"" Azevedo",M,26.0,186.0,90.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
11944,6507,Howard Bach,M,29.0,168.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Men's Doubles,
12696,6906,Ryan Bailey,M,32.0,198.0,111.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
13417,7283,Lloy James Ball,M,36.0,203.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
13940,7545,David Banks,M,24.0,188.0,87.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,
14518,7814,Brian David Barden,M,27.0,180.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
14571,7847,"Benjamin Oden ""Ben"" Barger",M,27.0,183.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Windsurfer,
16819,9021,Brian Beaman,M,24.0,178.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Pistol, 10 metres",
16908,9058,Ronald Layne Beaubien,M,32.0,198.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
18167,9644,Kenwood Kenta Bell,M,31.0,183.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,
19214,10174,Kyle Ray Bennett,M,28.0,183.0,83.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's BMX,
